step,upright,speed,reward,skill_name,fault_active,emergency_pending
295,0.9994,0.4163,0.6599,flat_walk_trot,False,False
296,0.9992,0.3106,0.6254,flat_walk_trot,False,False
297,0.9983,0.306,0.716,flat_walk_trot,False,False
298,0.9979,0.1925,0.6197,flat_walk_trot,False,False
299,0.9978,0.1665,0.6331,flat_walk_trot,False,False
300,0.9973,0.2102,0.7063,flat_walk_trot,False,False
301,0.9978,0.1905,0.6039,flat_walk_trot,False,False
302,0.9985,0.345,0.602,flat_walk_trot,False,False
303,0.999,0.4534,0.6091,flat_walk_trot,False,False
304,0.9996,0.4322,0.6135,flat_walk_trot,False,False
305,0.9999,0.3924,0.6791,flat_walk_trot,False,False
306,0.9998,0.2223,0.5555,flat_walk_trot,False,False
307,0.9998,0.4738,0.4035,flat_walk_trot,False,False
308,0.9995,0.3946,0.4498,flat_walk_trot,False,False
309,0.9991,0.3386,0.4204,flat_walk_trot,False,False
310,0.9978,0.2714,0.4107,flat_walk_trot,False,False
311,0.997,0.3061,0.5017,flat_walk_trot,False,False
312,0.9961,0.3086,0.5816,flat_walk_trot,False,False
313,0.9949,0.3009,0.6216,flat_walk_trot,False,False
314,0.9942,0.2942,0.5663,flat_walk_trot,False,False
315,0.9937,0.213,0.496,flat_walk_trot,False,False
316,0.9938,0.1525,0.5366,flat_walk_trot,False,False
317,0.9951,0.2349,0.5393,flat_walk_trot,False,False
318,0.9966,0.2889,0.4721,flat_walk_trot,False,False
319,0.9981,0.3827,0.4782,flat_walk_trot,False,False
320,0.9994,0.4552,0.4896,flat_walk_trot,False,False
321,1.0,0.5581,0.4477,flat_walk_trot,False,False
322,0.9998,0.5885,0.4037,flat_walk_trot,False,False
323,0.9995,0.3999,0.5266,flat_walk_trot,False,False
324,0.9996,0.5349,0.6855,flat_walk_trot,False,False
325,0.9993,0.4143,0.6461,flat_walk_trot,False,False
326,0.9991,0.3036,0.6166,flat_walk_trot,False,False
327,0.9983,0.3003,0.7069,flat_walk_trot,False,False
328,0.9979,0.1847,0.6119,flat_walk_trot,False,False
329,0.9977,0.1681,0.6403,flat_walk_trot,False,False
330,0.9972,0.2059,0.7034,flat_walk_trot,False,False
331,0.9978,0.1975,0.5975,flat_walk_trot,False,False
332,0.9984,0.3538,0.6029,flat_walk_trot,False,False
333,0.9991,0.4574,0.5917,flat_walk_trot,False,False
334,0.9996,0.4384,0.6035,flat_walk_trot,False,False
335,0.9999,0.3957,0.6682,flat_walk_trot,False,False
336,0.9998,0.2287,0.5378,flat_walk_trot,False,False
337,0.9998,0.4522,0.4085,flat_walk_trot,False,False
338,0.9995,0.3761,0.4554,flat_walk_trot,False,False
339,0.999,0.3199,0.4233,flat_walk_trot,False,False
340,0.9979,0.2853,0.4482,flat_walk_trot,False,False
341,0.9971,0.3235,0.5531,flat_walk_trot,False,False
342,0.9962,0.3257,0.5976,flat_walk_trot,False,False
343,0.995,0.3218,0.6327,flat_walk_trot,False,False
344,0.9942,0.3206,0.6166,flat_walk_trot,False,False
345,0.9938,0.2273,0.5173,flat_walk_trot,False,False
346,0.9938,0.1715,0.5333,flat_walk_trot,False,False
347,0.995,0.2302,0.5492,flat_walk_trot,False,False
348,0.9965,0.2712,0.4757,flat_walk_trot,False,False
349,0.998,0.3749,0.4753,flat_walk_trot,False,False
350,0.9993,0.4433,0.4856,flat_walk_trot,False,False
351,0.9999,0.5447,0.4511,flat_walk_trot,False,False
352,0.9999,0.5847,0.4017,flat_walk_trot,False,False
353,0.9995,0.4442,0.4959,flat_walk_trot,False,False
354,0.9996,0.5259,0.7084,flat_walk_trot,False,False
355,0.9993,0.4487,0.6999,flat_walk_trot,False,False
356,0.9992,0.3354,0.6437,flat_walk_trot,False,False
357,0.9983,0.3082,0.732,flat_walk_trot,False,False
358,0.9978,0.2036,0.6213,flat_walk_trot,False,False
359,0.9977,0.1802,0.6445,flat_walk_trot,False,False
360,0.9971,0.2295,0.7273,flat_walk_trot,False,False
361,0.9977,0.2005,0.6112,flat_walk_trot,False,False
362,0.9984,0.3492,0.6208,flat_walk_trot,False,False
363,0.9989,0.4519,0.6041,flat_walk_trot,False,False
364,0.9995,0.4076,0.6104,flat_walk_trot,False,False
365,0.9998,0.35,0.6639,flat_walk_trot,False,False
366,0.9998,0.2913,0.4762,flat_walk_trot,False,False
367,0.9997,0.4461,0.3644,flat_walk_trot,False,False
368,0.9994,0.3753,0.4381,flat_walk_trot,False,False
369,0.9989,0.355,0.3952,flat_walk_trot,False,False
370,0.9978,0.3256,0.4578,flat_walk_trot,False,False
371,0.997,0.3425,0.5787,flat_walk_trot,False,False
372,0.9961,0.3316,0.574,flat_walk_trot,False,False
373,0.9948,0.3289,0.6343,flat_walk_trot,False,False
374,0.9939,0.3437,0.6893,flat_walk_trot,False,False
375,0.9935,0.2421,0.5623,flat_walk_trot,False,False
376,0.9938,0.1679,0.5365,flat_walk_trot,False,False
377,0.9949,0.2308,0.5527,flat_walk_trot,False,False
378,0.9965,0.3008,0.4956,flat_walk_trot,False,False
379,0.9981,0.3787,0.4895,flat_walk_trot,False,False
380,0.9993,0.4545,0.495,flat_walk_trot,False,False
381,0.9999,0.5492,0.4669,flat_walk_trot,False,False
382,0.9999,0.5842,0.4078,flat_walk_trot,False,False
383,0.9996,0.4391,0.5072,flat_walk_trot,False,False
384,0.9996,0.5209,0.6992,flat_walk_trot,False,False
385,0.9993,0.4241,0.6662,flat_walk_trot,False,False
386,0.9991,0.3067,0.6365,flat_walk_trot,False,False
387,0.9983,0.3418,0.7463,flat_walk_trot,False,False
388,0.9979,0.2122,0.6438,flat_walk_trot,False,False
389,0.9977,0.1714,0.6462,flat_walk_trot,False,False
390,0.9971,0.2036,0.7023,flat_walk_trot,False,False
391,0.9977,0.2135,0.5996,flat_walk_trot,False,False
392,0.9984,0.3528,0.611,flat_walk_trot,False,False
393,0.999,0.4507,0.61,flat_walk_trot,False,False
394,0.9996,0.4116,0.6081,flat_walk_trot,False,False
395,0.9999,0.3565,0.6653,flat_walk_trot,False,False
396,0.9999,0.2752,0.4932,flat_walk_trot,False,False
397,0.9998,0.4802,0.3645,flat_walk_trot,False,False
398,0.9996,0.3914,0.4422,flat_walk_trot,False,False
399,0.999,0.3322,0.3917,flat_walk_trot,False,False
400,0.9979,0.2878,0.4312,flat_walk_trot,False,False
401,0.9972,0.308,0.5414,flat_walk_trot,False,False
402,0.9963,0.2995,0.571,flat_walk_trot,False,False
403,0.9951,0.2989,0.6198,flat_walk_trot,False,False
404,0.9941,0.3427,0.6822,flat_walk_trot,False,False
405,0.9937,0.2937,0.641,flat_walk_trot,False,False
406,0.9941,0.1742,0.5923,flat_walk_trot,False,False
407,0.9952,0.2162,0.558,flat_walk_trot,False,False
408,0.9966,0.3409,0.5462,flat_walk_trot,False,False
409,0.9982,0.3695,0.5478,flat_walk_trot,False,False
410,0.9993,0.4582,0.507,flat_walk_trot,False,False
411,0.9999,0.5472,0.4795,flat_walk_trot,False,False
412,0.9998,0.5616,0.4381,flat_walk_trot,False,False
413,0.9996,0.3817,0.4988,flat_walk_trot,False,False
414,0.9997,0.5541,0.6863,flat_walk_trot,False,False
415,0.9993,0.4224,0.6549,flat_walk_trot,False,False
416,0.9993,0.3157,0.6131,flat_walk_trot,False,False
417,0.9981,0.2214,0.6702,flat_walk_trot,False,False
418,0.9979,0.1904,0.5278,flat_walk_trot,False,False
419,0.9976,0.1438,0.6113,flat_walk_trot,False,False
420,0.9971,0.1515,0.6491,flat_walk_trot,False,False
421,0.9979,0.2017,0.5401,flat_walk_trot,False,False
422,0.9983,0.3183,0.5858,flat_walk_trot,False,False
423,0.9991,0.4173,0.5489,flat_walk_trot,False,False
424,0.9996,0.3716,0.5854,flat_walk_trot,False,False
425,0.9999,0.3419,0.6408,flat_walk_trot,False,False
426,0.9998,0.2501,0.4945,flat_walk_trot,False,False
427,0.9997,0.3992,0.4564,flat_walk_trot,False,False
428,0.9995,0.3554,0.4816,flat_walk_trot,False,False
429,0.9989,0.3336,0.4369,flat_walk_trot,False,False
430,0.9978,0.3216,0.507,flat_walk_trot,False,False
431,0.997,0.3534,0.5707,flat_walk_trot,False,False
432,0.9961,0.3503,0.5647,flat_walk_trot,False,False
433,0.995,0.352,0.6225,flat_walk_trot,False,False
434,0.9942,0.3179,0.5921,flat_walk_trot,False,False
435,0.9936,0.2433,0.5004,flat_walk_trot,False,False
436,0.9939,0.2096,0.5528,flat_walk_trot,False,False
437,0.9951,0.2036,0.5398,flat_walk_trot,False,False
438,0.9966,0.3056,0.4885,flat_walk_trot,False,False
439,0.9981,0.3831,0.5036,flat_walk_trot,False,False
440,0.9994,0.4419,0.5094,flat_walk_trot,False,False
441,0.9999,0.5477,0.4758,flat_walk_trot,False,False
442,0.9998,0.5768,0.4218,flat_walk_trot,False,False
443,0.9995,0.43,0.5037,flat_walk_trot,False,False
444,0.9997,0.5365,0.6443,flat_walk_trot,False,False
445,0.9993,0.4414,0.6422,flat_walk_trot,False,False
446,0.9992,0.3201,0.5898,flat_walk_trot,False,False
447,0.9983,0.2665,0.6705,flat_walk_trot,False,False
448,0.9978,0.1672,0.5854,flat_walk_trot,False,False
449,0.9977,0.1581,0.6113,flat_walk_trot,False,False
450,0.9973,0.216,0.7067,flat_walk_trot,False,False
451,0.9979,0.1765,0.5998,flat_walk_trot,False,False
452,0.9986,0.3379,0.5969,flat_walk_trot,False,False
453,0.9992,0.4556,0.5862,flat_walk_trot,False,False
454,0.9998,0.4725,0.5855,flat_walk_trot,False,False
455,0.9999,0.4221,0.6681,flat_walk_trot,False,False
456,0.9998,0.2477,0.5489,flat_walk_trot,False,False
457,0.9998,0.4624,0.4,flat_walk_trot,False,False
458,0.9996,0.374,0.4585,flat_walk_trot,False,False
459,0.999,0.3068,0.4384,flat_walk_trot,False,False
460,0.9978,0.2574,0.4501,flat_walk_trot,False,False
461,0.9971,0.295,0.538,flat_walk_trot,False,False
462,0.9961,0.2975,0.6074,flat_walk_trot,False,False
463,0.9949,0.2996,0.6255,flat_walk_trot,False,False
464,0.9944,0.298,0.5724,flat_walk_trot,False,False
